 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\ti48_in_si14.txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  55.00 keV   7.480E-01  3.134E+00     550 A       199 A       146 A   
  60.00 keV   7.813E-01  3.107E+00     595 A       213 A       156 A   
  65.00 keV   8.132E-01  3.078E+00     641 A       227 A       166 A   
  70.00 keV   8.439E-01  3.047E+00     686 A       241 A       176 A   
  80.00 keV   9.021E-01  2.986E+00     777 A       268 A       196 A   
  90.00 keV   9.568E-01  2.923E+00     869 A       295 A       215 A   
 100.00 keV   1.060E+00  2.862E+00     962 A       321 A       234 A   
 110.00 keV   1.220E+00  2.802E+00    1052 A       346 A       254 A   
 120.00 keV   1.359E+00  2.745E+00    1142 A       370 A       273 A   
 130.00 keV   1.479E+00  2.689E+00    1230 A       393 A       292 A   
 140.00 keV   1.583E+00  2.635E+00    1317 A       415 A       310 A   
 150.00 keV   1.674E+00  2.584E+00    1404 A       436 A       328 A   
 160.00 keV   1.754E+00  2.534E+00    1490 A       456 A       346 A   
 170.00 keV   1.825E+00  2.486E+00    1576 A       476 A       363 A   
 180.00 keV   1.889E+00  2.441E+00    1662 A       496 A       380 A   
 200.00 keV   2.002E+00  2.355E+00    1834 A       535 A       414 A   
 225.00 keV   2.121E+00  2.257E+00    2049 A       581 A       455 A   
 250.00 keV   2.222E+00  2.167E+00    2265 A       626 A       494 A   
 275.00 keV   2.310E+00  2.086E+00    2482 A       670 A       533 A   
 300.00 keV   2.387E+00  2.011E+00    2699 A       712 A       572 A   
 325.00 keV   2.457E+00  1.943E+00    2918 A       753 A       609 A   
 350.00 keV   2.521E+00  1.880E+00    3137 A       793 A       646 A   
 375.00 keV   2.581E+00  1.821E+00    3357 A       832 A       683 A   
 400.00 keV   2.638E+00  1.767E+00    3578 A       871 A       719 A   
 450.00 keV   2.748E+00  1.669E+00    4021 A       945 A       790 A   
 500.00 keV   2.854E+00  1.582E+00    4465 A      1016 A       860 A   
 550.00 keV   2.960E+00  1.506E+00    4908 A      1083 A       928 A   
 600.00 keV   3.067E+00  1.438E+00    5349 A      1148 A       995 A   
 650.00 keV   3.176E+00  1.377E+00    5788 A      1209 A      1060 A   
 700.00 keV   3.286E+00  1.321E+00    6224 A      1267 A      1124 A   
 800.00 keV   3.514E+00  1.225E+00    7081 A      1378 A      1246 A   
 900.00 keV   3.750E+00  1.143E+00    7918 A      1477 A      1362 A   
   1.00 MeV   3.992E+00  1.073E+00    8730 A      1566 A      1471 A   
   1.10 MeV   4.238E+00  1.013E+00    9518 A      1647 A      1574 A   
   1.20 MeV   4.488E+00  9.595E-01    1.03 um     1721 A      1670 A   
   1.30 MeV   4.740E+00  9.123E-01    1.10 um     1787 A      1760 A   
   1.40 MeV   4.992E+00  8.701E-01    1.17 um     1847 A      1845 A   
   1.50 MeV   5.244E+00  8.322E-01    1.24 um     1902 A      1925 A   
   1.60 MeV   5.494E+00  7.979E-01    1.31 um     1952 A      1999 A   
   1.70 MeV   5.743E+00  7.667E-01    1.37 um     1998 A      2069 A   
   1.80 MeV   5.988E+00  7.381E-01    1.44 um     2041 A      2135 A   
   2.00 MeV   6.470E+00  6.877E-01    1.55 um     2119 A      2256 A   
   2.25 MeV   7.049E+00  6.346E-01    1.70 um     2203 A      2389 A   
   2.50 MeV   7.601E+00  5.901E-01    1.83 um     2275 A      2506 A   
   2.75 MeV   8.125E+00  5.520E-01    1.95 um     2336 A      2610 A   
   3.00 MeV   8.620E+00  5.191E-01    2.07 um     2388 A      2703 A   
   3.25 MeV   9.086E+00  4.903E-01    2.18 um     2435 A      2786 A   
   3.50 MeV   9.526E+00  4.649E-01    2.29 um     2476 A      2862 A   
   3.75 MeV   9.939E+00  4.423E-01    2.39 um     2513 A      2931 A   
   4.00 MeV   1.033E+01  4.220E-01    2.49 um     2547 A      2995 A   
   4.50 MeV   1.104E+01  3.870E-01    2.68 um     2612 A      3109 A   
   5.00 MeV   1.168E+01  3.580E-01    2.86 um     2668 A      3208 A   
   5.50 MeV   1.225E+01  3.333E-01    3.04 um     2717 A      3296 A   
   6.00 MeV   1.276E+01  3.122E-01    3.20 um     2760 A      3374 A   
   6.50 MeV   1.322E+01  2.938E-01    3.36 um     2798 A      3446 A   
   7.00 MeV   1.365E+01  2.777E-01    3.52 um     2833 A      3511 A   
   8.00 MeV   1.439E+01  2.507E-01    3.82 um     2909 A      3627 A   
   9.00 MeV   1.503E+01  2.288E-01    4.10 um     2976 A      3728 A   
  10.00 MeV   1.558E+01  2.108E-01    4.38 um     3034 A      3817 A   
  11.00 MeV   1.608E+01  1.956E-01    4.65 um     3087 A      3897 A   
  12.00 MeV   1.652E+01  1.827E-01    4.91 um     3135 A      3970 A   
  13.00 MeV   1.692E+01  1.715E-01    5.16 um     3179 A      4038 A   
  14.00 MeV   1.729E+01  1.617E-01    5.41 um     3220 A      4100 A   
  15.00 MeV   1.763E+01  1.530E-01    5.65 um     3258 A      4158 A   
  16.00 MeV   1.795E+01  1.453E-01    5.89 um     3294 A      4212 A   
  17.00 MeV   1.825E+01  1.384E-01    6.13 um     3328 A      4263 A   
  18.00 MeV   1.853E+01  1.322E-01    6.36 um     3360 A      4312 A   
  20.00 MeV   1.905E+01  1.214E-01    6.81 um     3450 A      4401 A   
  22.50 MeV   1.962E+01  1.103E-01    7.36 um     3569 A      4503 A   
  25.00 MeV   2.013E+01  1.012E-01    7.90 um     3677 A      4594 A   
  27.50 MeV   2.059E+01  9.362E-02    8.43 um     3776 A      4678 A   
  30.00 MeV   2.100E+01  8.716E-02    8.94 um     3868 A      4755 A   
  32.50 MeV   2.137E+01  8.159E-02    9.45 um     3954 A      4828 A   
  35.00 MeV   2.170E+01  7.673E-02    9.95 um     4035 A      4895 A   
  37.50 MeV   2.201E+01  7.247E-02   10.44 um     4112 A      4959 A   
  40.00 MeV   2.228E+01  6.868E-02   10.92 um     4185 A      5020 A   
  45.00 MeV   2.276E+01  6.226E-02   11.87 um     4425 A      5132 A   
  50.00 MeV   2.314E+01  5.700E-02   12.81 um     4644 A      5236 A   
  55.00 MeV   2.345E+01  5.262E-02   13.73 um     4846 A      5333 A   
  60.00 MeV   2.370E+01  4.890E-02   14.64 um     5035 A      5423 A   
  65.00 MeV   2.389E+01  4.570E-02   15.54 um     5213 A      5509 A   
  70.00 MeV   2.403E+01  4.293E-02   16.44 um     5383 A      5591 A   
  80.00 MeV   2.420E+01  3.833E-02   18.22 um     5974 A      5745 A   
  90.00 MeV   2.424E+01  3.467E-02   20.00 um     6507 A      5888 A   
 100.00 MeV   2.420E+01  3.169E-02   21.77 um     6998 A      6025 A   
 110.00 MeV   2.393E+01  2.920E-02   23.56 um     7463 A      6156 A   
 120.00 MeV   2.355E+01  2.710E-02   25.37 um     7912 A      6284 A   
 130.00 MeV   2.323E+01  2.530E-02   27.21 um     8348 A      6410 A   
 140.00 MeV   2.289E+01  2.374E-02   29.08 um     8775 A      6534 A   
 150.00 MeV   2.254E+01  2.236E-02   30.97 um     9193 A      6657 A   
 160.00 MeV   2.217E+01  2.115E-02   32.90 um     9606 A      6780 A   
 170.00 MeV   2.180E+01  2.007E-02   34.85 um     1.00 um     6902 A   
 180.00 MeV   2.143E+01  1.910E-02   36.84 um     1.04 um     7024 A   
 200.00 MeV   2.070E+01  1.743E-02   40.93 um     1.19 um     7271 A   
 225.00 MeV   1.982E+01  1.574E-02   46.24 um     1.41 um     7584 A   
 250.00 MeV   1.898E+01  1.435E-02   51.79 um     1.62 um     7905 A   
 275.00 MeV   1.819E+01  1.321E-02   57.59 um     1.82 um     8237 A   
 300.00 MeV   1.746E+01  1.224E-02   63.63 um     2.01 um     8579 A   
 325.00 MeV   1.678E+01  1.141E-02   69.91 um     2.20 um     8934 A   
 350.00 MeV   1.615E+01  1.069E-02   76.45 um     2.39 um     9301 A   
 375.00 MeV   1.557E+01  1.006E-02   83.24 um     2.58 um     9681 A   
 400.00 MeV   1.503E+01  9.509E-03   90.28 um     2.77 um     1.01 um  
 450.00 MeV   1.406E+01  8.572E-03  105.10 um     3.48 um     1.09 um  
 500.00 MeV   1.322E+01  7.811E-03  120.89 um     4.14 um     1.18 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  1.0488E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
